"timestamp","Author","Comment"
"2:33:40","~ ℂ𝕠𝕔𝕠𝕟𝕦𝕥 ~ ","ILLINOIS TOP 10 AGAIN"
"2:33:42","Jd Bell","USC scored to fast"
"2:33:46","Jason Wilson","usc stinks...very predictable outcome. only surprise was that it was thisclose"
"2:32:29","The Lost And Unfounds","Come on kid"
"2:32:35","The Lost And Unfounds","He got this"
"2:32:39","Snek","light work "
"2:32:41","letterstotheflock","goodnight"
"2:32:41","timothy couto","i knew he wud make it woohoo knew it all along"
"2:32:41","Mike Fort","nailed it"
"2:32:43","D Cash","GG"
"2:32:43","~ ℂ𝕠𝕔𝕠𝕟𝕦𝕥 ~ ","YEAHHHH"
"2:32:47","D Cash","BALLGAME"
"2:32:49","~ ℂ𝕠𝕔𝕠𝕟𝕦𝕥 ~ ","USC IS TRASH"
"2:32:51","Mito","USC IS MID"
"2:32:52","Tanner Davis","hahaha"
"2:32:52","Graduationdabest","What a game"
"2:32:54","fishinwitkarlproductions","GAME"
"2:32:54","Kowboykool","Let’s gooooo 🔥🔥🔥🔥 legend "
"2:32:56","Aaron","LETSSSS GOOO"
"2:32:57","Darksoul Quis","What!? 😂"
"2:33:00","~ ℂ𝕠𝕔𝕠𝕟𝕦𝕥 ~ ","ILLINOIS TOP 10 AGAIN"
"2:33:00","Pocket","USC STINKS, this is their first loss, Last week everyone said ILLINOIS stunk?"
"2:33:03","Checkahboard","he gettin sum pussy tonight"
"2:33:03","Greezavious","whooooooo"
"2:33:04","Zzz Ooo","charging the field 😆 "
"2:33:04","Mito","STORM THE FIELD"
"2:33:04","The Lost And Unfounds","I called it last sec!"
"2:33:04","Juan Juan","usc lmao"
"2:33:05","el mero mero","refs sold"
"2:33:05","Zzz Ooo","HAHAHAHAHA"
"2:33:06","The Lost And Unfounds","Lol"
"2:33:06","SkyQuest2K8","WOW! "
"2:33:07","timothy couto","im goona chg my wifes name to illini"
"2:33:08","Vulcanized Viton","usc still ass on defense"
"2:33:09","~ ℂ𝕠𝕔𝕠𝕟𝕦𝕥 ~ ","ILLINOIS NEEDS TO BE TOP 10"
"2:33:09","Dylan Flowers","nice"
"2:33:11","Heather Whatever","Good game. "
"2:33:13","joel walker","Woop Woop!!!!!!"
"2:33:13","~ ℂ𝕠𝕔𝕠𝕟𝕦𝕥 ~ ","LEGIT WIN"
"2:33:15","el mero mero","usc vs refs"
"2:33:17","Myles Bankhead","Stinkin’ Riley needs to be fired already "
"2:33:21","Darksoul Quis","Take y’all ahh back to cali let’s go 😄"
"2:33:22","Bob Johnson","Good Game, Illinois. Now, Go Vols🧡‼"
"2:33:24","live_life2tha_fullest","CK Sukkas"
"2:33:25","Juan Juan","usc dont know about clock time"
"2:33:26","Mito","STORMING THE FIELD FOR BEATING USC IS CRAZY"
"2:33:29","Vulcanized Viton","THEY JUST GOT BEAT DOWN BY 50 BY.... INIDANA"
"2:33:31","Pocket","There is a reason Illinois was ranked number 9 a few weeks ago, great team"
"2:33:33","Mike Fort","Time to find a LSU/Ole Miss stream."
"2:33:36","King Slayer","refs won this game for Illinois"
"2:33:38","Juan Juan","clock doesnt exist in USC"
"2:33:39","D Cash","REFS?? ILLINOIS JUST TOOK THAT DUB"
"2:30:49","~ ℂ𝕠𝕔𝕠𝕟𝕦𝕥 ~ ","THEY WOULDN'T EXPECT IT"
"2:30:53","Mike Fort","Looked like a first down."
"2:30:57","D Cash","THERE U GO! LEAVE NO TIME"
"2:30:58","~ ℂ𝕠𝕔𝕠𝕟𝕦𝕥 ~ ","IT WOULD BE A TOUCHDOWN"
"2:30:59","DoKewl","imagine if usc ran the clock out and get the TD"
"2:31:02","Kowboykool","Bruh what "
"2:31:02","Taylon","😩😩"
"2:31:06","The Lost And Unfounds","Bro that wasn’t a first down lol"
"2:31:08","Juan Juan","USC screwed up bad last possession lmao"
"2:31:11","letterstotheflock","yesirski"
"2:31:16","Darksoul Quis","Bro bum ahh let sc beat us 🤮"
"2:31:17","Mike Fort","WF and GT goin to overtime."
"2:31:18","timothy couto","HES GONNA MISS OOMG"
"2:31:20","Sorensen","DON'T CHOKE"
"2:31:20","Sorensen","lol"
"2:31:22","~ ℂ𝕠𝕔𝕠𝕟𝕦𝕥 ~ ","FOR THE WIN"
"2:31:25","The Lost And Unfounds","This game is a comedy of errors"
"2:31:27","~ ℂ𝕠𝕔𝕠𝕟𝕦𝕥 ~ ","CAN HE DO IT"
"2:31:27","Chris Stopher","TOO MUCH PRESSURE HE MISSES"
"2:31:30","Jason Wilson","No attempts at the end zone"
"2:31:32","Mito","Bro is about to miss 100%"
"2:31:34","Myles Bankhead","Bunny Rabbit at the shelter incoming "
"2:31:35","D Cash","dont choke buddy"
"2:31:35","Taylon","UCkszU2WH9gy1mb0dV-11UJg/b8IfY7zOK9iVkNAP_I2A-AYUCkszU2WH9gy1mb0dV-11UJg/b8IfY7zOK9iVkNAP_I2A-AY"
"2:31:45","Vulcanized Viton","hes not missing this"
"2:31:45","D Cash","UCkszU2WH9gy1mb0dV-11UJg/oPgfY_DoKfSXkNAPq8-AgAo"
"2:31:48","~ ℂ𝕠𝕔𝕠𝕟𝕦𝕥 ~ ","DONT MISS"
"2:31:48","The Lost And Unfounds","Bro looks scared"
"2:31:49","Sorensen","he looks so fucking nervous lmao"
"2:31:49","Vulcanized Viton","too ez"
"2:31:49","New World Sports Tv","He's not gonna miss Illinois wins"
"2:31:52","Brian Cross","FG!"
"2:31:55","Executioner","he hits it"
"2:32:02","2022Bobber","Buck up kid... shoulders back be proud"
"2:32:03","live_life2tha_fullest","FK Illinois"
"2:32:03","Mito","HE MISSED "
"2:32:05","~ ℂ𝕠𝕔𝕠𝕟𝕦𝕥 ~ ","COME ON WIN IT FOR ILLINOIS"
"2:32:08","Graduationdabest","He looks like the Tennessee kicker vs uga"
"2:32:08","Vulcanized Viton","illini win"
"2:32:08","Jason Wilson","whatever happens usc stinks"
"2:32:09","D Cash","be a hero"
"2:32:14","D Cash","Legend"
"2:32:16","Kowboykool","Buddy bout to poop a brick "
"2:32:17","Myles Bankhead","Blocked! "
"2:32:21","live_life2tha_fullest","CK sukka"
"2:32:23","Juan Juan","#3 in the nation goes to ILLINOIS? WTF LOL"
"2:32:23","Taylon","UCkszU2WH9gy1mb0dV-11UJg/ygF1XpGUMMjk8gSDrI2wCx"
"2:32:24","Keith brown","He got that I’m gonna choke look "
"2:32:28","~ ℂ𝕠𝕔𝕠𝕟𝕦𝕥 ~ ","FOR THE WIN"
"2:28:08","Mike Fort","Pitt just threw a game ending pick to Louisville."
"2:28:09","D Cash","Them timeouts gone thats BALLGAME"
"2:28:17","Juan Juan","Lincoln riley only gets wets on touchdowns. nothing much else"
"2:28:18","Graduationdabest","Just center the kick "
"2:28:22","Mike Fort","This Wake Forest/GT game is still great."
"2:28:24","Mike Fort","So is this one."
"2:28:26","~ ℂ𝕠𝕔𝕠𝕟𝕦𝕥 ~ ","USC IS ASS"
"2:28:27","Heather Whatever","Rats. Well good game "
"2:28:32","Graduationdabest","Who’s winning the GT game"
"2:28:33","Kowboykool","Hopefully kicker is good "
"2:28:34","timothy couto","take it dos to 1 sec"
"2:28:46","Mike Fort","WF up 23-20, GT in striking distance."
"2:28:55","Graduationdabest","aight"
"2:28:56","~ ℂ𝕠𝕔𝕠𝕟𝕦𝕥 ~ ","BOTH OF THESE TEAMS ARE MID UTAH AND SOUTH FLORIDA ARE BETTER"
"2:29:01","The Lost And Unfounds","Bro I feel like kicker will miss lol"
"2:29:02","D Cash","drain the clock man"
"2:29:05","Mike Fort","50 seconds left"
"2:29:08","Darksoul Quis","Hell naw 🥴"
"2:29:08","Graduationdabest","WF please upset Gay"
"2:29:11","Graduationdabest","GT*"
"2:29:25","timothy couto","FUMBLE"
"2:29:29","The Lost And Unfounds","Michigan is not losing to USC"
"2:29:31","D Cash","why shotgun wtf"
"2:29:49","live_life2tha_fullest","USC, kill the mouse or lose."
"2:29:49","~ ℂ𝕠𝕔𝕠𝕟𝕦𝕥 ~ ","PASS"
"2:29:57","~ ℂ𝕠𝕔𝕠𝕟𝕦𝕥 ~ ","THROW THE BALL"
"2:29:59","Graduationdabest","Why would u ever pass the ball in this situation"
"2:30:04","Sorensen","Michigan USC game will be interesting I think. Closer than we think."
"2:30:05","Myles Bankhead","Illinois doing too much.. center the kick already "
"2:30:06","Mito","Why is this even a question on what to do"
"2:30:06","Sorensen","What's the spread?"
"2:30:07","Darksoul Quis","Bro Illinois depressing bruh"
"2:30:09","~ ℂ𝕠𝕔𝕠𝕟𝕦𝕥 ~ ","PASS"
"2:30:15","~ ℂ𝕠𝕔𝕠𝕟𝕦𝕥 ~ ","GO FOR A TOUCHDOWN"
"2:30:20","D Cash","UCkszU2WH9gy1mb0dV-11UJg/Z8MfY8mzLbnovwK5roC4Bg"
"2:30:21","~ ℂ𝕠𝕔𝕠𝕟𝕦𝕥 ~ ","LETS GO ILLINOIS"
"2:30:22","Juan Juan","stupid vs stupid. usc is the stupider tho"
"2:30:22","Mike Fort","I wouldn't settle for 45."
"2:30:24","Snek","why would they pass"
"2:30:26","Darksoul Quis","Sale the state "
"2:30:38","~ ℂ𝕠𝕔𝕠𝕟𝕦𝕥 ~ ","why"
"2:30:38","The Lost And Unfounds","45 is too long"
"2:30:39","Kowboykool","Time out "
"2:30:40","Mito","Passing wouldve been insane levels of stupidity "
"2:30:40","Rick Justus","here's a fact. moving the ball forward a center is a 5 yard penalty. not a ""oh nevermind"""
"2:30:42","D Cash","GREAT PLAY ILL SHUTUP 🤣🤣"
"2:30:42","~ ℂ𝕠𝕔𝕠𝕟𝕦𝕥 ~ ","WHY NOT THROW"
"2:30:42","Snek","that's game"
"2:30:43","Kowboykool","Keep moving "
"2:25:11","D Cash","👀"
"2:25:11","The Lost And Unfounds","He was holding onto his shoulder."
"2:25:11","Mito","usc is trash"
"2:25:15","Kowboykool","Let’s go "
"2:25:15","Zack Young","Lolol"
"2:25:16","James Monroe","wow"
"2:25:17","Mmmm Colbert","c'mon illini"
"2:25:18","Winning Speech Moments","Illinois should win with a FG now."
"2:25:19","Mike Fort","I thought they called it on the slant for a second."
"2:25:21","Graduationdabest","Should’ve let them play"
"2:25:22","~ ℂ𝕠𝕔𝕠𝕟𝕦𝕥 ~ ","Utah would beat both of these teams by multiple touchdowns, Just saying."
"2:25:22","Zack Young","Usc defense stinkky"
"2:25:22","New World Sports Tv","see what I mean lol"
"2:25:23","Taylon","UCkszU2WH9gy1mb0dV-11UJg/b8IfY7zOK9iVkNAP_I2A-AY"
"2:25:26","D Cash","That was a good call dude was pulling his pads"
"2:25:31","cosmiccube","gg"
"2:25:33","el mero mero","refs missed a clear hold"
"2:25:41","2022Bobber","DRAIN THE CLOCK"
"2:25:45","Kowboykool","Defense better step up now "
"2:25:47","D Cash","too much time drain that"
"2:25:48","eric bassham","😆 usc can't stop a constipated turd"
"2:25:50","timothy couto","ihad nothing but faith with illini, knew all the time"
"2:25:53","Mmmm Colbert","Zack YoungUsc defense stinkky like linky"
"2:25:57","Raise","its amazing that illinois has haters. we have sucked for so long how can you hate us? lol"
"2:26:11","~ ℂ𝕠𝕔𝕠𝕟𝕦𝕥 ~ ","LETS GO ILLINOIS"
"2:26:12","SnookmanLJ","Cant argue USC defense is garbage. Illinois offense done nothing against Indiana last week. Now they look like a top 10 offense."
"2:26:16","Mike Fort","I don't like them taking Corum out in 22."
"2:26:17","live_life2tha_fullest","Stomp the mouse"
"2:26:17","Mito","With how this game Illinois is going to drive to the 20yd line and then miss the FG watch and quote this when it happens"
